identification,name,lastname,age,code_id,email
12345678,Carlos,Gómez,21,A001,carlos_gómez.a001@ucaldas.edu.co
87654321,Laura,Martínez,19,A002,laura_martínez.a002@ucaldas.edu.co
11223344,Andrés,López,22,A003,andrés_lópez.a003@ucaldas.edu.co
44556677,Sofía,Rodríguez,20,A004,sofía_rodríguez.a004@ucaldas.edu.co
99887766,Mateo,Fernández,23,A005,mateo_fernández.a005@ucaldas.edu.co
22334455,Valentina,Pérez,18,A006,valentina_pérez.a006@ucaldas.edu.co
66778899,Sebastián,Ramírez,21,A007,sebastián_ramírez.a007@ucaldas.edu.co
55443322,Camila,Hernández,20,A008,camila_hernández.a008@ucaldas.edu.co
77889900,Alejandro,Torres,22,A009,alejandro_torres.a009@ucaldas.edu.co
88990011,Isabella,Díaz,19,A010,isabella_díaz.a010@ucaldas.edu.co
99001122,Daniel,Mendoza,24,A011,daniel_mendoza.a011@ucaldas.edu.co
11223300,Gabriela,Ortega,20,A012,gabriela_ortega.a012@ucaldas.edu.co
22334400,Tomás,Gutiérrez,22,A013,tomás_gutiérrez.a013@ucaldas.edu.co
33445500,Luciana,Castro,21,A014,luciana_castro.a014@ucaldas.edu.co
44556600,Felipe,Jiménez,23,A015,felipe_jiménez.a015@ucaldas.edu.co
55667700,Mariana,Silva,19,A016,mariana_silva.a016@ucaldas.edu.co
66778800,Julián,Ríos,22,A017,julián_ríos.a017@ucaldas.edu.co
77889911,Emily,Morales,20,A018,emily_morales.a018@ucaldas.edu.co
88990022,Santiago,Vargas,23,A019,santiago_vargas.a019@ucaldas.edu.co
99001133,Ana,Navarro,21,A020,ana_navarro.a020@ucaldas.edu.co
11223344,David,Peña,24,A021,david_peña.a021@ucaldas.edu.co
22334455,Paula,Luna,19,A022,paula_luna.a022@ucaldas.edu.co
33445566,Lucas,Soto,22,A023,lucas_soto.a023@ucaldas.edu.co
44556677,Nicole,Cárdenas,20,A024,nicole_cárdenas.a024@ucaldas.edu.co
55667788,Esteban,Muñoz,23,A025,esteban_muñoz.a025@ucaldas.edu.co
